epsilon,pi,g,diameter,critical_epsilon,saturated
0.01,0.01,0.1,1.0,0.0009990009990009992,True
0.01,0.01,0.25,1.0,0.002493765586034913,True
0.01,0.01,0.5,1.0,0.0049751243781094535,True
0.01,0.01,0.75,1.0,0.007444168734491314,True
0.01,0.01,1.0,1.0,0.009900990099009901,True
0.01,0.02,0.1,1.0,0.001996007984031936,True
0.01,0.02,0.25,1.0,0.0049751243781094535,True
0.01,0.02,0.5,1.0,0.009900990099009901,True
0.01,0.02,0.75,0.6734006734006733,0.01477832512315271,False
0.01,0.02,1.0,0.505050505050505,0.0196078431372549,False
0.01,0.05,0.1,1.0,0.004975124378109454,True
0.01,0.05,0.25,0.8080808080808081,0.01234567901234568,False
0.01,0.05,0.5,0.40404040404040403,0.02439024390243903,False
0.01,0.05,0.75,0.26936026936026936,0.03614457831325302,False
0.01,0.05,1.0,0.20202020202020202,0.047619047619047616,False
0.01,0.1,0.1,1.0,0.009900990099009903,True
0.01,0.1,0.25,0.40404040404040403,0.02439024390243903,False
0.01,0.1,0.5,0.20202020202020202,0.047619047619047616,False
0.01,0.1,0.75,0.13468013468013468,0.06976744186046513,False
0.01,0.1,1.0,0.10101010101010101,0.09090909090909091,False
0.01,0.25,0.1,0.40404040404040403,0.02439024390243903,False
0.01,0.25,0.25,0.16161616161616163,0.058823529411764705,False
0.01,0.25,0.5,0.08080808080808081,0.1111111111111111,False
0.01,0.25,0.75,0.05387205387205388,0.15789473684210525,False
0.01,0.25,1.0,0.04040404040404041,0.2,False
0.01,0.5,0.1,0.20202020202020202,0.047619047619047616,False
0.01,0.5,0.25,0.08080808080808081,0.1111111111111111,False
0.01,0.5,0.5,0.04040404040404041,0.2,False
0.01,0.5,0.75,0.02693602693602694,0.2727272727272727,False
0.01,0.5,1.0,0.020202020202020204,0.3333333333333333,False
0.03,0.01,0.1,1.0,0.0009990009990009992,True
0.03,0.01,0.25,1.0,0.002493765586034913,True
0.03,0.01,0.5,1.0,0.0049751243781094535,True
0.03,0.01,0.75,1.0,0.007444168734491314,True
0.03,0.01,1.0,1.0,0.009900990099009901,True
0.03,0.02,0.1,1.0,0.001996007984031936,True
0.03,0.02,0.25,1.0,0.0049751243781094535,True
0.03,0.02,0.5,1.0,0.009900990099009901,True
0.03,0.02,0.75,1.0,0.01477832512315271,True
0.03,0.02,1.0,1.0,0.0196078431372549,True
0.03,0.05,0.1,1.0,0.004975124378109454,True
0.03,0.05,0.25,1.0,0.01234567901234568,True
0.03,0.05,0.5,1.0,0.02439024390243903,True
0.03,0.05,0.75,0.824742268041237,0.03614457831325302,False
0.03,0.05,1.0,0.6185567010309277,0.047619047619047616,False
0.03,0.1,0.1,1.0,0.009900990099009903,True
0.03,0.1,0.25,1.0,0.02439024390243903,True
0.03,0.1,0.5,0.6185567010309277,0.047619047619047616,False
0.03,0.1,0.75,0.4123711340206185,0.06976744186046513,False
0.03,0.1,1.0,0.3092783505154639,0.09090909090909091,False
0.03,0.25,0.1,1.0,0.02439024390243903,True
0.03,0.25,0.25,0.4948453608247423,0.058823529411764705,False
0.03,0.25,0.5,0.24742268041237114,0.1111111111111111,False
0.03,0.25,0.75,0.16494845360824742,0.15789473684210525,False
0.03,0.25,1.0,0.12371134020618557,0.2,False
0.03,0.5,0.1,0.6185567010309277,0.047619047619047616,False
0.03,0.5,0.25,0.24742268041237114,0.1111111111111111,False
0.03,0.5,0.5,0.12371134020618557,0.2,False
0.03,0.5,0.75,0.08247422680412371,0.2727272727272727,False
0.03,0.5,1.0,0.061855670103092786,0.3333333333333333,False
0.05,0.01,0.1,1.0,0.0009990009990009992,True
0.05,0.01,0.25,1.0,0.002493765586034913,True
0.05,0.01,0.5,1.0,0.0049751243781094535,True
0.05,0.01,0.75,1.0,0.007444168734491314,True
0.05,0.01,1.0,1.0,0.009900990099009901,True
0.05,0.02,0.1,1.0,0.001996007984031936,True
0.05,0.02,0.25,1.0,0.0049751243781094535,True
0.05,0.02,0.5,1.0,0.009900990099009901,True
0.05,0.02,0.75,1.0,0.01477832512315271,True
0.05,0.02,1.0,1.0,0.0196078431372549,True
0.05,0.05,0.1,1.0,0.004975124378109454,True
0.05,0.05,0.25,1.0,0.01234567901234568,True
0.05,0.05,0.5,1.0,0.02439024390243903,True
0.05,0.05,0.75,1.0,0.03614457831325302,True
0.05,0.05,1.0,1.0,0.047619047619047616,True
0.05,0.1,0.1,1.0,0.009900990099009903,True
0.05,0.1,0.25,1.0,0.02439024390243903,True
0.05,0.1,0.5,1.0,0.047619047619047616,True
0.05,0.1,0.75,0.7017543859649122,0.06976744186046513,False
0.05,0.1,1.0,0.5263157894736842,0.09090909090909091,False
0.05,0.25,0.1,1.0,0.02439024390243903,True
0.05,0.25,0.25,0.8421052631578948,0.058823529411764705,False
0.05,0.25,0.5,0.4210526315789474,0.1111111111111111,False
0.05,0.25,0.75,0.28070175438596495,0.15789473684210525,False
0.05,0.25,1.0,0.2105263157894737,0.2,False
0.05,0.5,0.1,1.0,0.047619047619047616,True
0.05,0.5,0.25,0.4210526315789474,0.1111111111111111,False
0.05,0.5,0.5,0.2105263157894737,0.2,False
0.05,0.5,0.75,0.14035087719298248,0.2727272727272727,False
0.05,0.5,1.0,0.10526315789473685,0.3333333333333333,False
0.1,0.01,0.1,1.0,0.0009990009990009992,True
0.1,0.01,0.25,1.0,0.002493765586034913,True
0.1,0.01,0.5,1.0,0.0049751243781094535,True
0.1,0.01,0.75,1.0,0.007444168734491314,True
0.1,0.01,1.0,1.0,0.009900990099009901,True
0.1,0.02,0.1,1.0,0.001996007984031936,True
0.1,0.02,0.25,1.0,0.0049751243781094535,True
0.1,0.02,0.5,1.0,0.009900990099009901,True
0.1,0.02,0.75,1.0,0.01477832512315271,True
0.1,0.02,1.0,1.0,0.0196078431372549,True
0.1,0.05,0.1,1.0,0.004975124378109454,True
0.1,0.05,0.25,1.0,0.01234567901234568,True
0.1,0.05,0.5,1.0,0.02439024390243903,True
0.1,0.05,0.75,1.0,0.03614457831325302,True
0.1,0.05,1.0,1.0,0.047619047619047616,True
0.1,0.1,0.1,1.0,0.009900990099009903,True
0.1,0.1,0.25,1.0,0.02439024390243903,True
0.1,0.1,0.5,1.0,0.047619047619047616,True
0.1,0.1,0.75,1.0,0.06976744186046513,True
